client_id,transactions_2010,transactions_2011,transactions_2012,transactions_2013,transactions_2014,transactions_2015,transactions_2016,transactions_2017,transactions_2018,transactions_2019,average_yearly_spend,yearly_income,income minus avg,# of zeros,Class,Classification
0,57119.79,65056.81,61184.53,60790.84,69011.86,64049.91,71134.76,61361.44,64172.25,51917.48,62579.967,59613,(2966.97),0,Overspender,1
1,33047.24,33200.17,34555.13,34907.19,34716.31,35790.55,35336.87,33720.69,31441.78,29471.44,33618.737,45360,11741.26 ,0,Saver,0
2,28871.09,30721.28,27989.47,30007.22,30581.66,29832.06,31293.63,28228.4,29393.21,24616.25,29153.427,27447,(1706.43),0,Overspender,1
3,22009.02,25242.68,24920.78,29640.85,26163.07,32565.28,30110.32,31725.5,32938.92,25369.04,28068.546,27943,(125.55),0,Overspender,1
4,59096.36,65239.93,67989.14,58275.9,60117.38,57370.51,57560.31,62176.98,57339.75,50556.1,59572.236,76431,16858.76 ,0,Saver,0
5,27973.31,29357.69,30082.21,29511.74,29499.66,31621.21,32749.35,31975.71,27410.45,22721.27,29290.26,20614,(8676.26),0,Overspender,1
11,57358,61282.87,60531.34,60103.07,56616.36,65731.26,61800.54,60044.61,53577.45,48857.96,58590.346,67643,9052.65 ,0,Saver,0
13,25434.14,25060.34,24766.46,25065.51,23961.65,25729.37,25661.87,22910.26,22932.33,21476.3,24299.823,32378,8078.18 ,0,Saver,0
14,22466.73,26997.2,22083.27,29517.09,21961.91,22219.34,21897.52,26289.34,21726.14,18673.23,23383.177,32232,8848.82 ,0,Saver,0
16,31237.85,31140.73,39317.76,44085.93,38510.46,44688.03,37675.23,39365.79,40226.4,32424.54,37867.272,22158,(15709.27),0,Overspender,1
17,74030.04,78571.5,81318.28,85269.97,78909.99,77206.33,85011.07,83305.4,82818.28,67145.18,79358.604,21867,(57491.60),0,Overspender,1
19,6025.02,5561.37,5298.81,5658.42,5218.55,5415.91,6349.28,5089.5,5082.27,4721.12,5442.025,34903,29460.98 ,0,Saver,0
20,30202.14,26353.13,28124.03,31577.29,27663.12,30835.41,27504.47,26651.02,26663.48,25361.43,28093.552,23371,(4722.55),0,Overspender,1
21,28999.73,31221.55,27751.42,25443.83,24817.16,33704.08,29195.89,29817.26,30259,28624.57,28983.449,43084,14100.55 ,0,Saver,0
24,37605.46,37564.68,39907.88,33734.87,34943.68,38024.46,34921.28,38676.31,36123.29,27461.14,35896.305,38554,2657.70 ,0,Saver,0
27,42153.13,38142.65,46478.8,45120.13,41475.42,39113.66,45059.23,45368.37,40306.38,30673.36,41389.113,23821,(17568.11),0,Overspender,1
28,45192.2,38343.1,44767.28,42582.17,40937.52,44739.36,42504.69,37788.76,39879.47,32622.37,40935.692,54273,13337.31 ,0,Saver,0
32,32328.3,29501.63,30476.04,31886.43,32519.59,38107.64,35347.76,31504.9,31045.75,25098.02,31781.606,52315,20533.39 ,0,Saver,0
33,51212.03,51072.67,55000.73,53273.22,58528.68,52474.29,50185.16,51395.79,52857.13,44820.2,52081.99,38692,(13389.99),0,Overspender,1
34,81203.98,77002.39,74504.86,89932.64,75543.42,76442.98,74436.06,80899.94,80471.94,56221.01,76665.922,51854,(24811.92),0,Overspender,1
37,38806.4,44218.51,36649.45,42578.41,39148.29,42414.15,40309.83,39457.92,40466.1,35350.74,39939.98,34690,(5249.98),0,Overspender,1
38,51915.48,53582.23,52970.53,53148.41,51581.45,50677.18,52010.56,49427.66,56219.44,41433.54,51296.648,40006,(11290.65),0,Overspender,1
39,88025.92,86448.79,86951.19,90389.96,89885.05,94338.6,94261.03,88475.23,97340.59,71703.08,88781.944,61740,(27041.94),0,Overspender,1
40,17086.81,15817.83,17706.64,17387.69,17384.78,21299.94,18595.48,18924.7,17870.7,13916.08,17599.065,29243,11643.94 ,0,Saver,0
42,20928.07,18308.97,21197.95,20995,22526.64,24068.5,26000.88,24063.33,23317.62,21697.27,22310.423,8526,(13784.42),0,Overspender,1
44,37418.65,34821.53,33502.59,36272.11,34459.32,37162.66,35155.64,35830.95,39232.96,28982.35,35283.876,38194,2910.12 ,0,Saver,0
