date,amount,mcc
2010-01-01,86.64,4900
2010-01-01,16.41,5541
2010-01-04,13.69,5814
2010-01-04,57.99,7230
2010-01-04,36.67,5812
2010-01-05,118.47,5311
2010-01-06,5.48,5499
2010-01-06,33.70,5812
2010-01-07,46.47,4814
2010-01-07,144.55,5912
2010-01-07,75.05,7538
2010-01-07,41.50,5812
2010-01-08,16.33,5411
2010-01-09,61.57,5411
2010-01-09,5.33,5541
2010-01-09,15.68,5921
2010-01-10,50.08,4899
2010-01-10,82.16,7538
2010-01-11,121.46,4900
2010-01-11,16.54,5541
2010-01-11,42.63,5812
2010-01-12,130.73,5651
2010-01-12,12.02,5541
2010-01-12,197.89,7996
2010-01-12,43.77,5211
2010-01-12,84.00,5541
2010-01-12,66.71,5541
2010-01-12,-84.00,5541
2010-01-13,37.21,5300
2010-01-13,75.00,5541
2010-01-13,78.69,5541
2010-01-13,-75.00,5541
2010-01-14,5.07,5541
2010-01-14,12.97,5812
2010-01-14,-61.00,5541
2010-01-14,63.11,5541
2010-01-14,61.00,5541
2010-01-15,13.19,5541
2010-01-15,78.51,7230
2010-01-15,40.90,5812
2010-01-16,19.50,5411
2010-01-17,11.89,5411
2010-01-17,17.01,5812
2010-01-17,237.10,4900
2010-01-17,17.07,5411
2010-01-17,17.55,5541
2010-01-17,38.20,5812
2010-01-18,5.23,5499
2010-01-18,98.79,7538
2010-01-18,83.39,7538
2010-01-18,69.06,7538
2010-01-19,144.71,5300
2010-01-19,116.96,8043
2010-01-19,66.56,5541
2010-01-19,76.00,5541
2010-01-19,-76.00,5541
2010-01-21,34.69,5311
2010-01-21,16.24,5814
2010-01-21,9.60,4814
2010-01-22,15.72,5411
2010-01-23,155.37,5310
2010-01-24,18.39,5812
2010-01-25,12.89,5411
2010-01-25,90.00,5499
2010-01-25,-90.00,5499
2010-01-25,66.46,5499
2010-01-26,14.13,5814
2010-01-26,17.87,5814
2010-01-26,69.29,5912
2010-01-27,13.65,5411
2010-01-27,12.29,5311
2010-01-27,41.48,5812
2010-01-28,113.33,5411
2010-01-29,74.36,5912
2010-01-29,17.61,5921
2010-01-30,52.83,4899
2010-01-30,10.26,5541
2010-01-30,-74.00,5541
2010-01-30,64.03,5541
2010-01-30,74.00,5541
2010-01-31,3.08,5499
2010-01-31,148.23,4900
2010-02-01,11.86,5541
2010-02-03,16.00,5541
2010-02-04,9.25,5812
2010-02-04,80.01,7538
2010-02-04,-95.00,5499
2010-02-04,95.00,5499
2010-02-04,82.42,5499
2010-02-05,15.55,5814
2010-02-05,83.97,5912
2010-02-06,91.66,7230
2010-02-06,21.84,5541
2010-02-07,17.35,5541
2010-02-09,50.63,5970
2010-02-09,6.00,5921
2010-02-09,32.01,5499
2010-02-09,-72.00,5499
2010-02-09,72.00,5499
2010-02-09,24.20,5192
2010-02-10,4.62,5921
2010-02-10,14.61,5411
2010-02-10,11.63,5541
2010-02-11,12.91,5541
