date,amount,mcc
2010-01-01,76.41,4899
2010-01-01,49.01,5812
2010-01-02,41.21,5814
2010-01-03,34.27,5411
2010-01-03,1.63,5499
2010-01-05,1.57,5499
2010-01-05,32.62,5812
2010-01-06,68.85,5655
2010-01-07,1.94,5499
2010-01-07,26.75,5812
2010-01-08,32.04,5812
2010-01-10,74.64,7922
2010-01-10,34.36,5812
2010-01-11,28.27,5541
2010-01-12,72.44,4900
2010-01-12,36.16,5300
2010-01-12,29.66,5970
2010-01-12,38.30,7349
2010-01-13,27.89,5541
2010-01-13,-95.00,5541
2010-01-13,95.00,5541
2010-01-13,82.96,7538
2010-01-13,1.98,5912
2010-01-13,34.07,5812
2010-01-13,46.75,5814
2010-01-14,139.26,5411
2010-01-14,29.37,5812
2010-01-14,41.81,5812
2010-01-17,39.42,5812
2010-01-18,1.84,5499
2010-01-18,24.91,5814
2010-01-19,12.52,5300
2010-01-19,44.66,5814
2010-01-20,123.04,4814
2010-01-20,-100.00,5541
2010-01-20,100.00,5541
2010-01-20,40.49,5541
2010-01-20,136.80,5411
2010-01-20,44.73,7538
2010-01-20,31.52,7832
2010-01-20,32.97,5812
2010-01-21,24.34,5812
2010-01-22,36.61,5812
2010-01-23,30.69,5499
2010-01-23,50.00,5499
2010-01-23,-50.00,5499
2010-01-23,26.99,7832
2010-01-23,35.31,5814
2010-01-23,35.21,5812
2010-01-24,12.59,5912
2010-01-24,19.40,5211
2010-01-25,35.52,5411
2010-01-25,33.85,5812
2010-01-25,31.40,5812
2010-01-26,120.00,4829
2010-01-26,4.38,7542
2010-01-26,45.55,5812
2010-01-27,39.80,7349
2010-01-27,5.17,7542
2010-01-27,28.72,7393
2010-01-28,35.60,5499
2010-01-28,53.00,5499
2010-01-28,-53.00,5499
2010-01-28,25.25,5300
2010-01-28,43.07,5812
2010-01-29,24.54,5300
2010-01-29,194.60,8011
2010-01-29,15.54,5812
2010-01-30,1.66,5499
2010-01-30,29.58,5814
2010-01-31,155.72,5300
2010-01-31,21.68,5812
2010-02-01,81.17,5300
2010-02-02,31.05,5814
2010-02-04,8.87,5311
2010-02-04,2.09,5499
2010-02-04,27.39,5814
2010-02-04,42.92,5812
2010-02-04,18.96,5814
2010-02-05,94.28,7922
2010-02-05,31.20,5812
2010-02-06,12.43,5912
2010-02-06,46.25,7538
2010-02-06,36.77,5812
2010-02-06,36.27,5812
2010-02-07,95.00,5499
2010-02-07,37.75,5499
2010-02-07,-95.00,5499
2010-02-07,156.02,5411
2010-02-08,-70.00,5499
2010-02-08,23.47,5499
2010-02-08,70.00,5499
2010-02-08,44.36,7349
2010-02-08,23.67,5812
2010-02-09,12.05,5411
2010-02-09,185.40,8011
2010-02-09,39.00,5812
2010-02-10,42.89,5814
2010-02-10,31.48,7393
2010-02-12,98.97,7922
2010-02-12,10.41,5310
2010-02-13,44.55,5812
2010-02-15,-81.00,5541
2010-02-15,81.00,5541
2010-02-15,21.83,5541
2010-02-15,34.66,5812
2010-02-16,132.46,4899
2010-02-16,64.98,7538
2010-02-17,147.74,4814
2010-02-18,2.44,5912
2010-02-18,37.81,5812
2010-02-18,23.38,5812
2010-02-19,-77.00,5499
2010-02-19,77.00,5499
2010-02-19,35.03,5499
2010-02-19,63.16,7538
2010-02-19,41.09,7538
2010-02-19,31.68,5814
2010-02-19,39.64,5812
2010-02-21,18.43,7832
2010-02-22,43.84,4900
2010-02-22,146.40,8011
2010-02-23,8.27,5300
2010-02-23,61.27,7538
2010-02-23,7.62,5411
2010-02-23,5.21,7542
2010-02-24,62.61,7922
2010-02-24,24.15,5815
2010-02-24,26.98,5812
2010-02-26,82.43,7922
2010-02-26,22.76,7832
2010-02-27,33.15,5812
2010-02-28,13.56,5411
2010-03-01,1.34,5499
2010-03-01,41.83,5812
2010-03-02,21.60,5499
2010-03-02,80.00,5499
2010-03-02,-80.00,5499
2010-03-02,73.73,5311
2010-03-03,15.96,5211
2010-03-03,-62.00,5499
2010-03-03,62.00,5499
2010-03-03,36.39,5499
2010-03-03,42.49,5814
2010-03-04,38.83,5942
2010-03-04,14.72,5541
2010-03-04,37.57,5812
2010-03-05,173.56,5912
2010-03-05,4.36,7542
2010-03-05,1.72,5499
2010-03-05,28.16,7832
2010-03-05,39.45,5814
2010-03-06,23.93,5310
2010-03-06,34.88,5814
2010-03-07,8.30,5912
2010-03-07,1.74,5499
2010-03-08,43.10,5814
2010-03-11,6.70,5311
2010-03-11,36.96,5812
2010-03-12,100.00,4829
2010-03-12,166.09,8011
2010-03-12,33.47,5814
2010-03-13,35.60,5812
2010-03-14,35.07,5211
2010-03-14,11.84,5912
2010-03-14,40.27,6300
2010-03-15,60.00,4829
2010-03-16,21.34,5815
2010-03-17,41.29,5812
2010-03-18,84.05,7922
