date,amount,mcc
2010-01-01,60.0,4829
2010-01-01,60.0,4829
2010-01-01,85.9,5300
2010-01-01,15.59,5411
2010-01-01,120.0,4829
2010-01-01,11.36,5921
2010-01-01,100.0,4829
2010-01-02,100.0,4829
2010-01-02,100.0,4829
2010-01-02,6.37,7542
2010-01-02,86.51,5300
2010-01-02,13.53,5411
2010-01-02,80.0,4829
2010-01-03,125.91,4900
2010-01-03,80.0,4829
2010-01-03,99.13,5912
2010-01-03,80.0,4829
2010-01-04,120.0,4829
2010-01-04,100.0,4829
2010-01-04,105.63,5300
2010-01-04,23.58,5812
2010-01-04,120.0,4829
2010-01-05,30.17,7230
2010-01-05,81.93,5912
2010-01-05,18.04,5411
2010-01-06,100.0,4829
2010-01-06,100.0,4829
2010-01-06,111.46,5300
2010-01-06,31.72,5310
2010-01-06,100.0,4829
2010-01-06,120.0,4829
2010-01-07,100.0,4829
2010-01-07,140.0,4829
2010-01-07,120.0,4829
2010-01-07,89.05,5912
2010-01-07,80.0,4829
2010-01-07,120.0,4829
2010-01-08,120.0,4829
2010-01-08,27.99,5912
2010-01-08,100.0,4829
2010-01-08,85.6,5912
2010-01-08,6.13,5411
2010-01-08,120.0,4829
2010-01-09,100.0,4829
2010-01-09,100.0,4829
2010-01-09,80.0,4829
2010-01-09,107.12,5541
2010-01-09,85.02,5300
2010-01-09,43.05,5211
2010-01-09,10.43,5411
2010-01-09,100.0,4829
2010-01-10,120.0,4829
2010-01-10,100.0,4829
2010-01-10,114.72,5311
2010-01-11,40.0,4829
2010-01-11,100.0,4829
2010-01-11,98.26,5411
2010-01-11,38.7,5812
2010-01-11,80.0,4829
2010-01-12,100.0,4829
2010-01-12,100.0,4829
2010-01-12,12.55,5311
2010-01-12,97.69,5311
2010-01-12,18.14,5912
2010-01-12,100.0,4829
2010-01-13,100.0,4829
2010-01-13,83.55,5300
2010-01-13,19.8,5812
2010-01-13,15.74,5541
2010-01-14,10.72,5311
2010-01-14,26.22,5211
2010-01-14,81.63,5300
2010-01-14,76.45,5300
2010-01-14,60.0,4829
2010-01-15,120.0,4829
2010-01-15,54.56,7538
2010-01-15,88.52,4814
2010-01-15,118.63,4814
2010-01-15,84.99,5411
2010-01-15,83.55,5912
2010-01-15,30.42,5812
2010-01-15,14.75,5411
2010-01-15,120.0,4829
2010-01-15,11.64,5411
2010-01-15,100.0,4829
2010-01-16,100.0,4829
2010-01-16,29.27,5661
2010-01-16,130.38,8011
2010-01-16,13.12,5541
2010-01-16,120.0,4829
2010-01-17,100.0,4829
2010-01-17,60.0,4829
2010-01-17,87.85,5651
2010-01-17,12.13,5411
2010-01-17,100.0,4829
2010-01-18,120.0,4829
2010-01-18,49.64,7538
2010-01-18,7.84,5921
2010-01-18,100.0,4829
2010-01-19,50.39,4900
2010-01-19,100.0,4829
2010-01-19,100.0,4829
2010-01-19,109.94,5411
2010-01-19,46.47,5300
2010-01-19,100.0,4829
2010-01-20,60.0,4829
2010-01-20,100.0,4829
2010-01-20,79.91,5300
2010-01-20,120.0,4829
2010-01-21,100.0,4829
2010-01-21,61.82,5912
2010-01-22,100.0,4829
2010-01-22,70.43,5912
2010-01-22,12.95,5411
2010-01-22,80.0,4829
2010-01-23,80.0,4829
2010-01-23,140.0,4829
2010-01-23,100.0,4829
2010-01-23,33.42,7230
2010-01-23,92.05,5300
2010-01-23,8.17,5411
2010-01-24,100.0,4829
2010-01-24,16.1,5311
2010-01-24,100.0,4829
2010-01-24,97.17,5411
2010-01-25,100.0,4829
2010-01-25,60.0,4829
2010-01-25,60.0,4829
2010-01-26,137.3,4900
2010-01-26,109.14,4900
2010-01-26,120.0,4829
2010-01-26,40.0,4829
2010-01-26,641.56,3260
2010-01-26,82.72,5300
2010-01-26,60.0,4829
