date,amount,mcc
2010-01-01,100.0,4829
2010-01-01,64.54,5812
2010-01-02,219.92,5912
2010-01-02,6.11,5411
2010-01-02,10.31,5912
2010-01-03,164.92,5311
2010-01-03,158.32,5311
2010-01-03,80.0,4829
2010-01-04,5.7,5942
2010-01-05,18.16,5541
2010-01-05,100.0,4829
2010-01-05,5.59,5942
2010-01-06,75.0,5541
2010-01-06,-75.0,5541
2010-01-06,35.25,5541
2010-01-06,6.35,5411
2010-01-06,71.17,5812
2010-01-08,75.06,7230
2010-01-09,4.29,5300
2010-01-09,8.57,5310
2010-01-10,52.27,5499
2010-01-10,53.0,5499
2010-01-10,-53.0,5499
2010-01-10,464.8,7549
2010-01-10,6.76,5912
2010-01-10,5.1,5912
2010-01-11,9.17,5499
2010-01-11,6.4,5411
2010-01-12,17.22,5814
2010-01-12,249.69,3596
2010-01-12,3.73,5912
2010-01-13,4.24,5942
2010-01-14,100.37,5912
2010-01-14,5.09,5912
2010-01-15,70.86,4900
2010-01-15,57.83,7230
2010-01-16,427.0,4722
2010-01-16,177.11,4722
2010-01-16,13.57,5812
2010-01-16,5.2,5912
2010-01-18,120.0,4829
2010-01-18,5.84,5912
2010-01-19,80.0,4829
2010-01-20,120.0,4829
2010-01-21,226.0,3596
2010-01-21,301.44,4722
2010-01-21,-427.0,4722
2010-01-21,906.42,3132
2010-01-21,-74.0,5541
2010-01-21,48.72,5541
2010-01-21,74.0,5541
2010-01-23,93.03,5411
2010-01-23,18.45,5812
2010-01-23,238.64,3596
2010-01-23,-226.0,3596
2010-01-24,6.94,5499
2010-01-24,76.86,7538
2010-01-25,6.08,5411
2010-01-25,10.7,5310
2010-01-26,143.61,5912
2010-01-26,256.13,4814
2010-01-27,100.0,4829
2010-01-28,160.25,5300
2010-01-28,150.03,8021
2010-01-28,5.28,5411
2010-01-29,185.89,6300
2010-01-30,133.29,5541
2010-01-30,107.73,4900
2010-01-31,12.18,5921
2010-01-31,86.87,5211
2010-02-01,149.89,8021
2010-02-01,279.95,4814
2010-02-02,80.0,4829
2010-02-02,120.0,4829
2010-02-02,100.0,4829
2010-02-02,142.0,3771
2010-02-03,20.0,4829
2010-02-03,249.52,4814
2010-02-04,5.0,5912
2010-02-05,5.08,5411
2010-02-06,294.16,8021
2010-02-06,85.49,4814
2010-02-06,4.81,5411
2010-02-07,-142.0,3771
2010-02-07,288.65,3771
2010-02-08,58.0,5499
2010-02-08,45.8,5499
2010-02-08,-58.0,5499
2010-02-08,150.65,5311
2010-02-08,60.0,4829
2010-02-09,100.46,5300
2010-02-10,6.75,5411
2010-02-11,67.01,5211
2010-02-11,176.0,5411
2010-02-12,61.77,7230
2010-02-14,70.81,4814
2010-02-14,9.01,5815
2010-02-15,0.79,5300
2010-02-17,7.06,5411
2010-02-17,4.45,5912
2010-02-17,0.79,5942
2010-02-17,5.3,5411
2010-02-18,87.32,5311
2010-02-18,3.18,5411
2010-02-18,313.1,8011
2010-02-19,-62.0,5541
2010-02-19,51.09,5541
2010-02-19,62.0,5541
2010-02-19,87.69,5300
2010-02-20,96.27,5311
2010-02-20,6.25,5912
2010-02-21,18.71,5411
2010-02-21,120.0,4829
2010-02-22,9.2,5499
2010-02-22,4.47,5411
2010-02-23,18.63,5812
2010-02-24,4.83,5411
2010-02-24,8.55,5912
2010-02-24,63.78,5812
2010-02-25,6.44,5411
2010-02-26,4.33,5942
2010-02-27,48.47,7832
2010-02-28,107.85,5311
2010-02-28,5.16,5411
2010-03-01,86.72,4814
2010-03-01,11.12,5499
2010-03-01,164.1,5300
2010-03-01,12.73,4900
2010-03-01,80.85,7538
2010-03-01,319.71,8011
2010-03-02,47.21,5499
2010-03-02,98.0,5499
2010-03-02,-98.0,5499
2010-03-03,66.0,5300
2010-03-03,100.0,4829
2010-03-03,81.78,7538
2010-03-03,6.18,5912
2010-03-04,164.88,5411
2010-03-04,71.16,5411
2010-03-04,75.19,7538
2010-03-04,7.32,4900
2010-03-04,4.89,5912
2010-03-06,23.57,5251
2010-03-06,12.64,4900
2010-03-07,-97.0,5499
2010-03-07,97.0,5499
2010-03-07,49.85,5499
2010-03-07,6.02,5411
2010-03-09,100.0,4829
2010-03-09,6.22,5411
2010-03-10,29.53,5499
2010-03-10,71.0,5499
2010-03-10,-71.0,5499
2010-03-10,190.78,5912
2010-03-10,5.75,5942
2010-03-10,6.21,5912
2010-03-11,18.48,5814
2010-03-11,7.19,5411
2010-03-13,24.57,5411
2010-03-13,16.82,5814
2010-03-13,115.1,8043
2010-03-14,5.94,5411
2010-03-15,117.82,5411
2010-03-16,74.77,7230
2010-03-17,17.24,5411
2010-03-17,72.35,7538
